year,city,Unnamed: 0,env_attention,total_water,avg_u10,avg_v10,tobeijing,totianjin,toshijiazhuang,totangshan,toqinhuangdao,tohandan,toxingtai,tobaoding,tozhangjiakou,tochengde,tocangzhou,tolangfang,tohengshui,煤炭占能源消费总量的比重 (%),石油占能源消费总量的比重 (%),天然气占能源消费总量的比重 (%),一次电力及其他能源占能源总量的比重 (%),pm25,第二产业占比,供气总量
2010,保定,,0.1872914380846114,0.206771192235566,-0.3125069624323649,0.26984930221545755,-0.49617288326157094,-0.3106287417459564,-0.841744734997088,0.15356894527363044,0.32473729094589887,-0.3002378360862773,-0.39006800606584036,-1.9933082803731317,-0.5411303634905942,0.168513575535386,-0.6446999613988456,-0.48668293595220896,-0.7176048536364154,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,0.7535944729576439,1.190184257197238,-0.3880142508330111
2011,保定,,0.1872914380846114,0.206771192235566,-0.3125069624323649,0.26984930221545755,-0.49617288326157094,-0.3106287417459564,-0.841744734997088,0.15356894527363044,0.32473729094589887,-0.3002378360862773,-0.39006800606584036,-1.9933082803731317,-0.5411303634905942,0.168513575535386,-0.6446999613988456,-0.48668293595220896,-0.7176048536364154,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,0.7535944729576439,1.190184257197238,-0.3880142508330111
2012,保定,,0.1872914380846114,0.206771192235566,-0.3125069624323649,0.26984930221545755,-0.49617288326157094,-0.3106287417459564,-0.841744734997088,0.15356894527363044,0.32473729094589887,-0.3002378360862773,-0.39006800606584036,-1.9933082803731317,-0.5411303634905942,0.168513575535386,-0.6446999613988456,-0.48668293595220896,-0.7176048536364154,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,0.7535944729576439,1.190184257197238,-0.3880142508330111
2013,保定,,0.1872914380846114,0.206771192235566,-0.3125069624323649,0.26984930221545755,-0.49617288326157094,-0.3106287417459564,-0.841744734997088,0.15356894527363044,0.32473729094589887,-0.3002378360862773,-0.39006800606584036,-1.9933082803731317,-0.5411303634905942,0.168513575535386,-0.6446999613988456,-0.48668293595220896,-0.7176048536364154,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,0.7535944729576439,1.190184257197238,-0.3880142508330111
2014,保定,0.0,0.1872914380846114,0.206771192235566,-0.3125069624323649,0.26984930221545755,-0.49617288326157094,-0.3106287417459564,-0.841744734997088,0.15356894527363044,0.32473729094589887,-0.3002378360862773,-0.39006800606584036,-1.9933082803731317,-0.5411303634905942,0.168513575535386,-0.6446999613988456,-0.48668293595220896,-0.7176048536364154,1.1490157834683359,-1.3443144677771686,-1.0744766936856505,-1.0387235783931192,0.7535944729576439,1.190184257197238,-0.3880142508330111
2015,保定,1.0,0.670030262310303,1.7656749834678234,-0.37992070859762805,-0.01301360327474196,-0.49617288326157094,-0.3106287417459564,-0.841744734997088,0.15356894527363044,0.32473729094589887,-0.3002378360862773,-0.39006800606584036,-1.9933082803731317,-0.5411303634905942,0.168513575535386,-0.6446999613988456,-0.48668293595220896,-0.7176048536364154,0.7121276528720103,0.2400561549601992,-0.923141948096122,-0.7879971974016767,2.3544219530945933,0.914896425879289,-0.3901711197392012
2016,保定,2.0,0.12695586590984984,2.2531845449454715,-0.7831964649192684,0.09733470330948349,-0.49617288326157094,-0.3106287417459564,-0.841744734997088,0.15356894527363044,0.32473729094589887,-0.3002378360862773,-0.39006800606584036,-1.9933082803731317,-0.5411303634905942,0.168513575535386,-0.6446999613988456,-0.48668293595220896,-0.7176048536364154,0.36261714839495107,0.6721572338885741,-0.6961398297118305,-0.42981665312818723,1.669599298104127,0.7724397858965744,-0.37174384680184563
2017,保定,3.0,-0.023238670273256462,1.0422847741288568,-0.1560264878688706,0.2376543488268715,-0.49617288326157094,-0.3106287417459564,-0.841744734997088,0.15356894527363044,0.32473729094589887,-0.3002378360862773,-0.39006800606584036,-1.9933082803731317,-0.5411303634905942,0.168513575535386,-0.6446999613988456,-0.48668293595220896,-0.7176048536364154,0.013106643917890265,0.9602246198408223,-0.09080084735371635,-0.21490832656409362,1.2678172874975482,0.6136198832131416,-0.35918071979649624
2018,保定,4.0,-0.24859064099733405,1.3274061411964388,-0.7370153263818711,-0.10760115154790661,-0.49617288326157094,-0.3106287417459564,-0.841744734997088,0.15356894527363044,0.32473729094589887,-0.3002378360862773,-0.39006800606584036,-1.9933082803731317,-0.5411303634905942,0.168513575535386,-0.6446999613988456,-0.48668293595220896,-0.7176048536364154,-0.33640386055917054,0.9602246198408223,0.43887076220963195,0.10745416328204711,0.4191800129835307,0.6790729340160107,-0.32985999013646555
2019,保定,5.0,-0.2605953952714533,0.7163266446939321,0.20386346531156566,0.12263221742194391,-0.49617288326157094,-0.3106287417459564,-0.841744734997088,0.15356894527363044,0.32473729094589887,-0.3002378360862773,-0.39006800606584036,-1.9933082803731317,-0.5411303634905942,0.168513575535386,-0.6446999613988456,-0.48668293595220896,-0.7176048536364154,-0.6640699585064147,1.104258312816949,0.7415402533886887,0.42981665312818784,0.12693085448441488,0.01876715679883209,-0.29214777168494005
